data,fechamento,abertura,max,min,variacao
2025-05-12,136.563,136.516,137.519,136.356,0.04
2025-05-13,138.963,136.565,139.419,136.55,1.76
2025-05-14,138.423,138.965,139.362,138.228,-0.39
2025-05-15,139.334,138.425,139.408,138.321,0.66
2025-05-16,139.187,139.335,139.335,137.713,-0.11
2025-05-19,139.636,139.186,140.203,138.587,0.32
2025-05-20,140.11,139.636,140.244,138.966,0.34
2025-05-21,137.881,140.109,140.109,137.538,-1.59
2025-05-22,137.273,137.881,138.837,137.088,-0.44
2025-05-23,137.824,137.273,137.824,134.997,0.4
2025-05-26,138.136,137.824,138.8,137.795,0.23
2025-05-27,139.541,138.136,140.382,138.136,1.02
2025-05-28,138.888,139.541,139.547,138.58,-0.47
2025-05-29,138.534,138.869,139.108,137.993,-0.25
2025-05-30,137.027,138.546,138.637,136.726,-1.09
2025-06-02,136.787,137.026,138.471,136.483,-0.18
2025-06-03,137.546,136.787,137.672,136.175,0.56
2025-06-04,137.002,137.547,138.797,136.695,-0.4
2025-06-05,136.236,137.003,137.451,136.031,-0.56
2025-06-06,136.102,136.236,136.89,135.601,-0.1
2025-06-09,135.699,136.102,136.106,134.119,-0.3
2025-06-10,136.436,135.716,137.369,135.716,0.54
2025-06-11,137.128,136.443,137.531,135.628,0.51
2025-06-12,137.8,137.127,137.931,136.175,0.49
2025-06-13,137.213,137.8,137.8,136.586,-0.43
2025-06-16,139.256,137.212,139.988,137.212,1.49
2025-06-17,138.84,139.256,139.497,138.293,-0.3
2025-06-18,138.717,138.844,139.161,138.443,-0.09
2025-06-20,137.116,138.715,138.719,136.815,-1.15
2025-06-23,136.551,137.116,137.13,135.835,-0.41
2025-06-24,137.165,136.552,138.156,136.254,0.45
2025-06-25,135.767,137.163,137.163,135.565,-1.02
2025-06-26,137.114,135.767,137.353,135.756,0.99
2025-06-27,136.866,137.113,137.209,136.469,-0.18
2025-06-30,138.855,136.865,139.103,136.43,1.45
2025-07-01,139.549,138.855,139.695,138.855,0.5
2025-07-02,139.051,139.586,140.049,138.384,-0.36
2025-07-03,140.928,139.051,141.304,139.051,1.35
2025-07-04,141.264,140.928,141.564,140.597,0.24
2025-07-07,139.49,141.265,141.342,139.295,-1.26
2025-07-08,139.303,139.491,139.591,138.77,-0.13
2025-07-09,137.481,139.303,139.331,137.299,-1.31
2025-07-10,136.743,137.472,137.472,136.014,-0.54
2025-07-11,136.187,136.742,136.742,135.528,-0.41
2025-07-14,135.299,136.187,136.187,134.84,-0.65
2025-07-15,135.25,135.298,136.022,134.38,-0.04
2025-07-16,135.511,135.25,135.641,134.265,0.19
2025-07-17,135.565,135.515,135.792,135.016,0.04
2025-07-18,133.382,135.562,135.562,133.296,-1.61
2025-07-21,134.167,133.382,134.865,133.367,0.59
2025-07-22,134.036,134.18,135.3,133.986,-0.1
2025-07-23,135.368,134.036,135.782,133.676,0.99
2025-07-24,133.808,135.357,135.363,133.648,-1.15
2025-07-25,133.524,133.82,134.204,133.285,-0.21
2025-07-28,132.129,133.538,133.902,131.55,-1.04
2025-07-29,132.726,132.13,133.346,132.13,0.45
2025-07-30,133.99,132.702,134.368,131.883,0.95
2025-07-31,133.071,133.987,133.987,132.096,-0.69
2025-08-01,132.437,132.92,133.237,132.14,-0.48
2025-08-04,132.971,132.44,133.929,132.44,0.4
2025-08-05,133.151,132.971,134.233,132.682,0.14
2025-08-06,134.538,133.169,135.241,133.169,1.04
2025-08-07,136.528,134.538,137.007,134.533,1.48
2025-08-08,135.913,136.526,136.761,135.659,-0.45
2025-08-11,135.623,135.913,136.307,135.496,-0.21
2025-08-12,137.914,135.629,138.414,135.629,1.69
2025-08-13,136.687,137.911,137.913,136.535,-0.89
2025-08-14,136.356,136.681,137.437,135.588,-0.24
2025-08-15,136.341,136.354,136.431,135.583,-0.01
2025-08-18,137.322,136.341,137.902,136.341,0.72
2025-08-19,134.432,137.321,137.321,133.997,-2.1
2025-08-20,134.666,134.43,134.964,134.122,0.17
2025-08-21,134.511,134.664,134.837,133.874,-0.12
2025-08-22,137.968,134.511,138.072,134.511,2.57
2025-08-25,138.025,137.971,138.89,137.971,0.04
2025-08-26,137.771,138.026,138.037,137.058,-0.18
2025-08-27,139.206,137.773,139.281,137.456,1.04
2025-08-28,141.049,139.206,142.138,139.206,1.32
2025-08-29,141.422,141.049,142.379,141.0,0.26
2025-09-01,141.283,141.423,141.95,140.878,-0.1
2025-09-02,140.335,141.279,141.279,139.625,-0.67
2025-09-03,139.864,140.332,140.496,139.582,-0.34
2025-09-04,140.993,139.832,141.482,139.832,0.81
2025-09-05,142.64,141.003,143.409,141.003,1.17
2025-09-08,141.792,142.64,143.089,141.329,-0.59
2025-09-09,141.618,141.794,142.286,141.605,-0.12
2025-09-10,142.349,141.612,143.182,141.612,0.52
2025-09-11,143.151,142.349,144.013,142.349,0.56
2025-09-12,142.272,143.151,143.202,142.241,-0.61
2025-09-15,143.547,142.292,144.194,142.292,0.9
2025-09-16,144.062,143.547,144.584,143.547,0.36
2025-09-17,145.594,144.059,146.331,143.91,1.06
2025-09-18,145.499,145.594,145.726,144.993,-0.06
2025-09-19,145.865,145.499,146.399,145.496,0.25
2025-09-22,145.109,145.864,145.864,144.117,-0.52
2025-09-23,146.425,145.112,147.178,145.107,0.91
2025-09-24,146.492,146.426,146.585,146.067,0.05
2025-09-25,145.306,146.492,146.519,145.187,-0.81
2025-09-26,145.447,145.326,146.235,145.146,0.1
2025-09-29,146.337,145.447,147.558,145.447,0.61
2025-09-30,146.237,146.337,147.578,145.774,-0.07
2025-10-01,145.517,146.237,146.879,145.193,-0.49
2025-10-02,143.95,145.517,145.621,143.635,-1.08
2025-10-03,144.201,143.95,144.518,143.676,0.17
2025-10-06,143.608,144.202,144.532,143.376,-0.41
2025-10-07,141.356,143.606,143.606,141.035,-1.57
2025-10-08,142.145,141.356,142.385,141.356,0.56
2025-10-09,141.708,142.148,143.212,141.603,-0.31
2025-10-10,140.68,141.725,142.274,140.231,-0.73
2025-10-13,141.783,140.682,142.303,140.682,0.78
2025-10-14,141.683,141.788,142.589,141.334,-0.07
2025-10-15,142.604,141.683,142.905,141.154,0.65
2025-10-16,142.2,142.604,143.191,141.446,-0.28
2025-10-17,143.399,142.2,143.424,141.248,0.84
2025-10-20,144.509,143.399,145.216,143.396,0.77
2025-10-21,144.085,144.509,144.795,143.829,-0.29
2025-10-22,144.873,144.094,145.048,144.039,0.55
2025-10-23,145.721,144.881,146.358,144.881,0.59
2025-10-24,146.172,145.721,147.24,145.721,0.31
2025-10-27,146.969,146.174,147.977,146.174,0.55
2025-10-28,147.429,146.97,147.811,146.575,0.31
2025-10-29,148.633,147.43,149.067,147.43,0.82
2025-10-30,148.78,148.632,149.234,147.546,0.1
2025-10-31,149.54,148.774,149.636,148.774,0.51
2025-11-03,150.454,149.551,150.761,149.551,0.61
2025-11-04,150.704,150.453,150.888,149.979,0.17
2025-11-05,153.294,150.709,153.583,150.296,1.72
2025-11-06,153.339,153.297,154.352,153.235,0.03
2025-11-07,154.064,153.339,154.066,152.368,0.47
2025-11-10,155.257,154.061,155.601,154.058,0.77
2025-11-11,157.749,155.257,158.467,155.252,1.6
2025-11-12,157.633,157.749,158.134,156.56,-0.07
2025-11-13,157.162,157.633,158.319,156.509,-0.3
2025-11-14,157.739,157.162,158.366,156.656,0.37
2025-11-17,156.993,157.742,157.901,156.568,-0.47
2025-11-18,156.522,156.99,157.04,155.834,-0.3
2025-11-19,155.381,156.522,156.522,155.212,-0.73
2025-11-21,154.77,155.381,155.387,153.571,-0.39
2025-11-24,155.278,154.769,155.832,154.529,0.33
2025-11-25,155.91,155.278,156.373,154.821,0.41
2025-11-26,158.555,155.915,158.714,155.914,1.7
2025-11-27,158.36,158.554,158.864,158.167,-0.12
2025-11-28,159.072,158.358,159.689,158.078,0.45
2025-12-01,158.611,159.073,159.224,158.029,-0.29
2025-12-02,161.092,158.612,161.092,158.612,1.56
2025-12-03,161.755,161.094,161.963,161.093,0.41
2025-12-04,164.456,161.76,164.551,161.759,1.67
2025-12-05,157.369,164.461,165.036,157.007,-4.31
2025-12-08,158.187,157.369,159.235,157.369,0.52
2025-12-09,157.981,158.187,158.851,155.188,-0.13
2025-12-10,159.075,157.984,159.691,157.628,0.69
2025-12-11,159.189,159.072,159.85,158.098,0.07
2025-12-12,160.766,159.189,161.263,159.189,0.99
2025-12-15,162.482,160.766,163.073,160.766,1.07
2025-12-16,158.578,162.482,162.482,158.558,-2.4
2025-12-17,157.327,158.578,158.611,156.351,-0.79
2025-12-18,157.923,157.327,158.495,157.124,0.38
2025-12-19,158.473,157.928,159.552,157.906,0.35
2025-12-22,158.142,158.48,158.634,157.306,-0.21
2025-12-23,160.456,158.144,160.456,158.144,1.46
2025-12-26,160.897,160.456,160.913,159.359,0.27
